filename,beta,gamma,sim_id,num_rows,max_time,generated_at
b0.10_g0.10_sim0.csv,0.1,0.1,0,51,50.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim1.csv,0.1,0.1,1,63,62.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim2.csv,0.1,0.1,2,44,43.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim3.csv,0.1,0.1,3,54,53.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim4.csv,0.1,0.1,4,39,38.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim5.csv,0.1,0.1,5,104,103.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim6.csv,0.1,0.1,6,42,41.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim7.csv,0.1,0.1,7,42,41.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim8.csv,0.1,0.1,8,44,43.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim9.csv,0.1,0.1,9,48,47.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim10.csv,0.1,0.1,10,35,34.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim11.csv,0.1,0.1,11,57,56.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim12.csv,0.1,0.1,12,53,52.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim13.csv,0.1,0.1,13,72,71.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim14.csv,0.1,0.1,14,53,52.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim15.csv,0.1,0.1,15,47,46.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim16.csv,0.1,0.1,16,54,53.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim17.csv,0.1,0.1,17,47,46.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim18.csv,0.1,0.1,18,57,56.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim19.csv,0.1,0.1,19,72,71.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim20.csv,0.1,0.1,20,68,67.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim21.csv,0.1,0.1,21,66,65.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim22.csv,0.1,0.1,22,33,32.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim23.csv,0.1,0.1,23,60,59.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim24.csv,0.1,0.1,24,48,47.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim25.csv,0.1,0.1,25,48,47.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim26.csv,0.1,0.1,26,50,49.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim27.csv,0.1,0.1,27,42,41.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim28.csv,0.1,0.1,28,57,56.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim29.csv,0.1,0.1,29,34,33.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim30.csv,0.1,0.1,30,67,66.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim31.csv,0.1,0.1,31,87,86.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim32.csv,0.1,0.1,32,78,77.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim33.csv,0.1,0.1,33,63,62.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim34.csv,0.1,0.1,34,36,35.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim35.csv,0.1,0.1,35,45,44.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim36.csv,0.1,0.1,36,73,72.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim37.csv,0.1,0.1,37,59,58.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim38.csv,0.1,0.1,38,42,41.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim39.csv,0.1,0.1,39,43,42.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim40.csv,0.1,0.1,40,31,30.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim41.csv,0.1,0.1,41,49,48.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim42.csv,0.1,0.1,42,72,71.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim43.csv,0.1,0.1,43,45,44.0,2025-04-07T21:22:44.761847
