time,S,I,R
0.0,95,5,0
1.0,0,92,8
2.0,0,79,21
3.0,0,70,30
4.0,0,66,34
5.0,0,58,42
6.0,0,53,47
7.0,0,49,51
8.0,0,48,52
9.0,0,41,59
10.0,0,37,63
11.0,0,36,64
12.0,0,34,66
13.0,0,32,68
14.0,0,31,69
15.0,0,31,69
16.0,0,27,73
17.0,0,24,76
18.0,0,22,78
19.0,0,17,83
20.0,0,16,84
21.0,0,15,85
22.0,0,12,88
23.0,0,11,89
24.0,0,11,89
25.0,0,11,89
26.0,0,7,93
27.0,0,7,93
28.0,0,7,93
29.0,0,5,95
30.0,0,5,95
31.0,0,4,96
32.0,0,3,97
33.0,0,3,97
34.0,0,3,97
35.0,0,3,97
36.0,0,3,97
37.0,0,1,99
38.0,0,1,99
39.0,0,0,100
40.0,0,0,100
41.0,0,0,100
42.0,0,0,100
43.0,0,0,100
44.0,0,0,100
45.0,0,0,100
46.0,0,0,100
