time,S,I,R
0.0,95,5,0
1.0,0,90,10
2.0,0,82,18
3.0,0,73,27
4.0,0,66,34
5.0,0,58,42
6.0,0,50,50
7.0,0,47,53
8.0,0,41,59
9.0,0,36,64
10.0,0,32,68
11.0,0,28,72
12.0,0,25,75
13.0,0,23,77
14.0,0,21,79
15.0,0,18,82
16.0,0,14,86
17.0,0,10,90
18.0,0,9,91
19.0,0,9,91
20.0,0,9,91
21.0,0,7,93
22.0,0,7,93
23.0,0,4,96
24.0,0,4,96
25.0,0,4,96
26.0,0,4,96
27.0,0,3,97
28.0,0,3,97
29.0,0,3,97
30.0,0,3,97
31.0,0,2,98
32.0,0,2,98
33.0,0,1,99
34.0,0,1,99
35.0,0,0,100
36.0,0,0,100
37.0,0,0,100
38.0,0,0,100
39.0,0,0,100
