time,S,I,R
0.0,95,5,0
1.0,0,96,4
2.0,0,83,17
3.0,0,78,22
4.0,0,65,35
5.0,0,59,41
6.0,0,53,47
7.0,0,50,50
8.0,0,46,54
9.0,0,43,57
10.0,0,39,61
11.0,0,32,68
12.0,0,29,71
13.0,0,24,76
14.0,0,22,78
15.0,0,20,80
16.0,0,19,81
17.0,0,15,85
18.0,0,15,85
19.0,0,14,86
20.0,0,12,88
21.0,0,11,89
22.0,0,10,90
23.0,0,8,92
24.0,0,7,93
25.0,0,6,94
26.0,0,5,95
27.0,0,5,95
28.0,0,4,96
29.0,0,4,96
30.0,0,3,97
31.0,0,3,97
32.0,0,3,97
33.0,0,3,97
34.0,0,3,97
35.0,0,3,97
36.0,0,2,98
37.0,0,1,99
38.0,0,1,99
39.0,0,0,100
40.0,0,0,100
41.0,0,0,100
42.0,0,0,100
43.0,0,0,100
