time,S,I,R
0.0,95,5,0
1.0,0,91,9
2.0,0,79,21
3.0,0,72,28
4.0,0,60,40
5.0,0,55,45
6.0,0,48,52
7.0,0,42,58
8.0,0,39,61
9.0,0,37,63
10.0,0,33,67
11.0,0,30,70
12.0,0,26,74
13.0,0,26,74
14.0,0,24,76
15.0,0,23,77
16.0,0,21,79
17.0,0,18,82
18.0,0,17,83
19.0,0,15,85
20.0,0,14,86
21.0,0,13,87
22.0,0,11,89
23.0,0,11,89
24.0,0,9,91
25.0,0,9,91
26.0,0,8,92
27.0,0,7,93
28.0,0,6,94
29.0,0,5,95
30.0,0,4,96
31.0,0,3,97
32.0,0,3,97
33.0,0,2,98
34.0,0,1,99
35.0,0,0,100
36.0,0,0,100
37.0,0,0,100
38.0,0,0,100
39.0,0,0,100
40.0,0,0,100
41.0,0,0,100
42.0,0,0,100
43.0,0,0,100
44.0,0,0,100
45.0,0,0,100
46.0,0,0,100
