time,S,I,R
0.0,95,5,0
1.0,0,88,12
2.0,0,82,18
3.0,0,72,28
4.0,0,65,35
5.0,0,61,39
6.0,0,56,44
7.0,0,49,51
8.0,0,39,61
9.0,0,36,64
10.0,0,33,67
11.0,0,29,71
12.0,0,27,73
13.0,0,26,74
14.0,0,23,77
15.0,0,21,79
16.0,0,20,80
17.0,0,18,82
18.0,0,14,86
19.0,0,12,88
20.0,0,9,91
21.0,0,7,93
22.0,0,6,94
23.0,0,5,95
24.0,0,5,95
25.0,0,5,95
26.0,0,4,96
27.0,0,3,97
28.0,0,3,97
29.0,0,3,97
30.0,0,1,99
31.0,0,1,99
32.0,0,1,99
33.0,0,0,100
34.0,0,0,100
35.0,0,0,100
36.0,0,0,100
37.0,0,0,100
38.0,0,0,100
39.0,0,0,100
40.0,0,0,100
41.0,0,0,100
42.0,0,0,100
43.0,0,0,100
44.0,0,0,100
45.0,0,0,100
46.0,0,0,100
47.0,0,0,100
48.0,0,0,100
49.0,0,0,100
50.0,0,0,100
51.0,0,0,100
52.0,0,0,100
