time,S,I,R
0.0,95,5,0
1.0,0,85,15
2.0,0,73,27
3.0,0,65,35
4.0,0,61,39
5.0,0,56,44
6.0,0,49,51
7.0,0,45,55
8.0,0,42,58
9.0,0,38,62
10.0,0,31,69
11.0,0,27,73
12.0,0,27,73
13.0,0,23,77
14.0,0,21,79
15.0,0,18,82
16.0,0,15,85
17.0,0,14,86
18.0,0,13,87
19.0,0,12,88
20.0,0,12,88
21.0,0,12,88
22.0,0,12,88
23.0,0,12,88
24.0,0,8,92
25.0,0,8,92
26.0,0,8,92
27.0,0,8,92
28.0,0,8,92
29.0,0,6,94
30.0,0,5,95
31.0,0,5,95
32.0,0,5,95
33.0,0,5,95
34.0,0,4,96
35.0,0,4,96
36.0,0,4,96
37.0,0,3,97
38.0,0,3,97
39.0,0,3,97
40.0,0,3,97
41.0,0,3,97
42.0,0,3,97
43.0,0,3,97
44.0,0,3,97
45.0,0,3,97
46.0,0,3,97
47.0,0,3,97
48.0,0,1,99
49.0,0,1,99
50.0,0,1,99
51.0,0,1,99
52.0,0,1,99
53.0,0,1,99
54.0,0,0,100
55.0,0,0,100
56.0,0,0,100
57.0,0,0,100
58.0,0,0,100
59.0,0,0,100
60.0,0,0,100
61.0,0,0,100
62.0,0,0,100
63.0,0,0,100
64.0,0,0,100
