time,S,I,R
0.0,95,5,0
1.0,0,93,7
2.0,0,84,16
3.0,0,75,25
4.0,0,68,32
5.0,0,61,39
6.0,0,55,45
7.0,0,51,49
8.0,0,45,55
9.0,0,41,59
10.0,0,38,62
11.0,0,34,66
12.0,0,31,69
13.0,0,26,74
14.0,0,21,79
15.0,0,20,80
16.0,0,16,84
17.0,0,15,85
18.0,0,14,86
19.0,0,12,88
20.0,0,11,89
21.0,0,10,90
22.0,0,10,90
23.0,0,9,91
24.0,0,9,91
25.0,0,9,91
26.0,0,9,91
27.0,0,7,93
28.0,0,6,94
29.0,0,6,94
30.0,0,5,95
31.0,0,5,95
32.0,0,3,97
33.0,0,2,98
34.0,0,2,98
35.0,0,0,100
36.0,0,0,100
37.0,0,0,100
38.0,0,0,100
39.0,0,0,100
