time,S,I,R
0.0,95,5,0
1.0,0,88,12
2.0,0,79,21
3.0,0,66,34
4.0,0,60,40
5.0,0,52,48
6.0,0,45,55
7.0,0,44,56
8.0,0,42,58
9.0,0,38,62
10.0,0,33,67
11.0,0,31,69
12.0,0,30,70
13.0,0,29,71
14.0,0,27,73
15.0,0,23,77
16.0,0,20,80
17.0,0,15,85
18.0,0,14,86
19.0,0,10,90
20.0,0,10,90
21.0,0,10,90
22.0,0,10,90
23.0,0,10,90
24.0,0,10,90
25.0,0,10,90
26.0,0,8,92
27.0,0,6,94
28.0,0,6,94
29.0,0,6,94
30.0,0,6,94
31.0,0,6,94
32.0,0,6,94
33.0,0,6,94
34.0,0,4,96
35.0,0,4,96
36.0,0,4,96
37.0,0,3,97
38.0,0,3,97
39.0,0,2,98
40.0,0,1,99
41.0,0,1,99
42.0,0,1,99
43.0,0,1,99
44.0,0,0,100
45.0,0,0,100
46.0,0,0,100
47.0,0,0,100
48.0,0,0,100
49.0,0,0,100
50.0,0,0,100
51.0,0,0,100
52.0,0,0,100
53.0,0,0,100
54.0,0,0,100
55.0,0,0,100
56.0,0,0,100
57.0,0,0,100
58.0,0,0,100
59.0,0,0,100
60.0,0,0,100
61.0,0,0,100
62.0,0,0,100
63.0,0,0,100
64.0,0,0,100
65.0,0,0,100
66.0,0,0,100
67.0,0,0,100
68.0,0,0,100
