time,S,I,R
0.0,95,5,0
1.0,0,91,9
2.0,0,81,19
3.0,0,69,31
4.0,0,62,38
5.0,0,57,43
6.0,0,50,50
7.0,0,45,55
8.0,0,38,62
9.0,0,33,67
10.0,0,27,73
11.0,0,25,75
12.0,0,22,78
13.0,0,20,80
14.0,0,19,81
15.0,0,16,84
16.0,0,13,87
17.0,0,12,88
18.0,0,11,89
19.0,0,10,90
20.0,0,10,90
21.0,0,8,92
22.0,0,7,93
23.0,0,7,93
24.0,0,7,93
25.0,0,7,93
26.0,0,7,93
27.0,0,6,94
28.0,0,6,94
29.0,0,5,95
30.0,0,3,97
31.0,0,2,98
32.0,0,2,98
33.0,0,1,99
34.0,0,0,100
35.0,0,0,100
36.0,0,0,100
37.0,0,0,100
38.0,0,0,100
39.0,0,0,100
40.0,0,0,100
41.0,0,0,100
42.0,0,0,100
43.0,0,0,100
44.0,0,0,100
45.0,0,0,100
