time,S,I,R
0.0,95,5,0
1.0,0,88,12
2.0,0,81,19
3.0,0,72,28
4.0,0,60,40
5.0,0,54,46
6.0,0,50,50
7.0,0,38,62
8.0,0,32,68
9.0,0,31,69
10.0,0,25,75
11.0,0,19,81
12.0,0,16,84
13.0,0,15,85
14.0,0,15,85
15.0,0,14,86
16.0,0,12,88
17.0,0,10,90
18.0,0,10,90
19.0,0,9,91
20.0,0,8,92
21.0,0,5,95
22.0,0,5,95
23.0,0,5,95
24.0,0,4,96
25.0,0,4,96
26.0,0,4,96
27.0,0,4,96
28.0,0,3,97
29.0,0,1,99
30.0,0,1,99
31.0,0,1,99
32.0,0,0,100
33.0,0,0,100
34.0,0,0,100
35.0,0,0,100
36.0,0,0,100
37.0,0,0,100
38.0,0,0,100
39.0,0,0,100
40.0,0,0,100
41.0,0,0,100
42.0,0,0,100
43.0,0,0,100
44.0,0,0,100
45.0,0,0,100
46.0,0,0,100
47.0,0,0,100
48.0,0,0,100
49.0,0,0,100
