time,S,I,R
0.0,95,5,0
1.0,0,91,9
2.0,0,85,15
3.0,0,77,23
4.0,0,67,33
5.0,0,63,37
6.0,0,58,42
7.0,0,54,46
8.0,0,49,51
9.0,0,45,55
10.0,0,40,60
11.0,0,38,62
12.0,0,36,64
13.0,0,33,67
14.0,0,28,72
15.0,0,27,73
16.0,0,23,77
17.0,0,22,78
18.0,0,18,82
19.0,0,17,83
20.0,0,13,87
21.0,0,13,87
22.0,0,13,87
23.0,0,11,89
24.0,0,9,91
25.0,0,7,93
26.0,0,7,93
27.0,0,7,93
28.0,0,4,96
29.0,0,4,96
30.0,0,3,97
31.0,0,2,98
32.0,0,2,98
33.0,0,2,98
34.0,0,2,98
35.0,0,2,98
36.0,0,2,98
37.0,0,2,98
38.0,0,1,99
39.0,0,1,99
40.0,0,0,100
41.0,0,0,100
42.0,0,0,100
43.0,0,0,100
44.0,0,0,100
45.0,0,0,100
46.0,0,0,100
47.0,0,0,100
48.0,0,0,100
49.0,0,0,100
50.0,0,0,100
