time,S,I,R
0.0,95,5,0
1.0,0,88,12
2.0,0,83,17
3.0,0,76,24
4.0,0,69,31
5.0,0,65,35
6.0,0,61,39
7.0,0,54,46
8.0,0,52,48
9.0,0,42,58
10.0,0,37,63
11.0,0,30,70
12.0,0,25,75
13.0,0,23,77
14.0,0,22,78
15.0,0,20,80
16.0,0,20,80
17.0,0,18,82
18.0,0,17,83
19.0,0,14,86
20.0,0,13,87
21.0,0,11,89
22.0,0,10,90
23.0,0,10,90
24.0,0,10,90
25.0,0,7,93
26.0,0,7,93
27.0,0,6,94
28.0,0,6,94
29.0,0,5,95
30.0,0,5,95
31.0,0,5,95
32.0,0,5,95
33.0,0,4,96
34.0,0,4,96
35.0,0,4,96
36.0,0,3,97
37.0,0,3,97
38.0,0,3,97
39.0,0,1,99
40.0,0,1,99
41.0,0,1,99
42.0,0,1,99
43.0,0,1,99
44.0,0,1,99
45.0,0,1,99
46.0,0,1,99
47.0,0,1,99
48.0,0,1,99
49.0,0,1,99
50.0,0,1,99
51.0,0,1,99
52.0,0,1,99
53.0,0,0,100
54.0,0,0,100
55.0,0,0,100
56.0,0,0,100
57.0,0,0,100
58.0,0,0,100
59.0,0,0,100
60.0,0,0,100
61.0,0,0,100
62.0,0,0,100
63.0,0,0,100
64.0,0,0,100
65.0,0,0,100
66.0,0,0,100
67.0,0,0,100
