time,S,I,R
0.0,95,5,0
1.0,0,89,11
2.0,0,81,19
3.0,0,74,26
4.0,0,65,35
5.0,0,57,43
6.0,0,53,47
7.0,0,47,53
8.0,0,43,57
9.0,0,40,60
10.0,0,35,65
11.0,0,31,69
12.0,0,27,73
13.0,0,24,76
14.0,0,23,77
15.0,0,19,81
16.0,0,15,85
17.0,0,12,88
18.0,0,11,89
19.0,0,11,89
20.0,0,10,90
21.0,0,9,91
22.0,0,9,91
23.0,0,8,92
24.0,0,8,92
25.0,0,8,92
26.0,0,8,92
27.0,0,8,92
28.0,0,8,92
29.0,0,8,92
30.0,0,8,92
31.0,0,7,93
32.0,0,6,94
33.0,0,5,95
34.0,0,5,95
35.0,0,4,96
36.0,0,3,97
37.0,0,2,98
38.0,0,2,98
39.0,0,2,98
40.0,0,2,98
41.0,0,2,98
42.0,0,2,98
43.0,0,2,98
44.0,0,2,98
45.0,0,2,98
46.0,0,2,98
47.0,0,2,98
48.0,0,2,98
49.0,0,2,98
50.0,0,2,98
51.0,0,1,99
52.0,0,1,99
53.0,0,1,99
54.0,0,1,99
55.0,0,1,99
56.0,0,1,99
57.0,0,1,99
58.0,0,1,99
59.0,0,1,99
60.0,0,1,99
61.0,0,1,99
62.0,0,1,99
63.0,0,1,99
64.0,0,1,99
65.0,0,1,99
66.0,0,1,99
67.0,0,1,99
68.0,0,1,99
69.0,0,1,99
70.0,0,1,99
71.0,0,1,99
72.0,0,1,99
73.0,0,1,99
74.0,0,1,99
75.0,0,0,100
76.0,0,0,100
77.0,0,0,100
78.0,0,0,100
79.0,0,0,100
80.0,0,0,100
81.0,0,0,100
82.0,0,0,100
83.0,0,0,100
84.0,0,0,100
85.0,0,0,100
86.0,0,0,100
87.0,0,0,100
88.0,0,0,100
89.0,0,0,100
90.0,0,0,100
91.0,0,0,100
92.0,0,0,100
93.0,0,0,100
94.0,0,0,100
95.0,0,0,100
96.0,0,0,100
