time,S,I,R
0.0,95,5,0
1.0,0,91,9
2.0,0,76,24
3.0,0,67,33
4.0,0,62,38
5.0,0,52,48
6.0,0,44,56
7.0,0,41,59
8.0,0,34,66
9.0,0,33,67
10.0,0,32,68
11.0,0,28,72
12.0,0,21,79
13.0,0,20,80
14.0,0,17,83
15.0,0,13,87
16.0,0,11,89
17.0,0,9,91
18.0,0,9,91
19.0,0,8,92
20.0,0,6,94
21.0,0,5,95
22.0,0,5,95
23.0,0,5,95
24.0,0,5,95
25.0,0,4,96
26.0,0,4,96
27.0,0,4,96
28.0,0,4,96
29.0,0,4,96
30.0,0,4,96
31.0,0,4,96
32.0,0,4,96
33.0,0,4,96
34.0,0,3,97
35.0,0,3,97
36.0,0,3,97
37.0,0,3,97
38.0,0,3,97
39.0,0,3,97
40.0,0,2,98
41.0,0,2,98
42.0,0,1,99
43.0,0,1,99
44.0,0,1,99
45.0,0,1,99
46.0,0,1,99
47.0,0,1,99
48.0,0,1,99
49.0,0,1,99
50.0,0,1,99
51.0,0,1,99
52.0,0,1,99
53.0,0,1,99
54.0,0,1,99
55.0,0,1,99
56.0,0,1,99
57.0,0,0,100
58.0,0,0,100
59.0,0,0,100
60.0,0,0,100
61.0,0,0,100
62.0,0,0,100
63.0,0,0,100
64.0,0,0,100
65.0,0,0,100
