time,S,I,R
0.0,95,5,0
1.0,0,87,13
2.0,0,77,23
3.0,0,71,29
4.0,0,65,35
5.0,0,59,41
6.0,0,53,47
7.0,0,49,51
8.0,0,46,54
9.0,0,43,57
10.0,0,41,59
11.0,0,37,63
12.0,0,35,65
13.0,0,32,68
14.0,0,27,73
15.0,0,24,76
16.0,0,23,77
17.0,0,22,78
18.0,0,20,80
19.0,0,16,84
20.0,0,11,89
21.0,0,11,89
22.0,0,10,90
23.0,0,9,91
24.0,0,9,91
25.0,0,8,92
26.0,0,7,93
27.0,0,7,93
28.0,0,4,96
29.0,0,3,97
30.0,0,3,97
31.0,0,3,97
32.0,0,3,97
33.0,0,3,97
34.0,0,2,98
35.0,0,1,99
36.0,0,1,99
37.0,0,1,99
38.0,0,1,99
39.0,0,1,99
40.0,0,0,100
41.0,0,0,100
42.0,0,0,100
