time,S,I,R
0.0,95,5,0
1.0,0,93,7
2.0,0,83,17
3.0,0,79,21
4.0,0,75,25
5.0,0,71,29
6.0,0,64,36
7.0,0,57,43
8.0,0,47,53
9.0,0,42,58
10.0,0,40,60
11.0,0,39,61
12.0,0,35,65
13.0,0,34,66
14.0,0,32,68
15.0,0,29,71
16.0,0,26,74
17.0,0,20,80
18.0,0,16,84
19.0,0,15,85
20.0,0,14,86
21.0,0,12,88
22.0,0,9,91
23.0,0,7,93
24.0,0,7,93
25.0,0,6,94
26.0,0,5,95
27.0,0,5,95
28.0,0,4,96
29.0,0,3,97
30.0,0,2,98
31.0,0,2,98
32.0,0,1,99
33.0,0,0,100
34.0,0,0,100
35.0,0,0,100
36.0,0,0,100
37.0,0,0,100
38.0,0,0,100
39.0,0,0,100
40.0,0,0,100
41.0,0,0,100
42.0,0,0,100
43.0,0,0,100
44.0,0,0,100
45.0,0,0,100
46.0,0,0,100
47.0,0,0,100
48.0,0,0,100
49.0,0,0,100
50.0,0,0,100
51.0,0,0,100
52.0,0,0,100
53.0,0,0,100
54.0,0,0,100
