time,S,I,R
0.0,95,5,0
1.0,0,94,6
2.0,0,88,12
3.0,0,80,20
4.0,0,64,36
5.0,0,58,42
6.0,0,56,44
7.0,0,49,51
8.0,0,41,59
9.0,0,36,64
10.0,0,34,66
11.0,0,32,68
12.0,0,28,72
13.0,0,26,74
14.0,0,25,75
15.0,0,22,78
16.0,0,17,83
17.0,0,15,85
18.0,0,14,86
19.0,0,13,87
20.0,0,11,89
21.0,0,11,89
22.0,0,11,89
23.0,0,10,90
24.0,0,9,91
25.0,0,8,92
26.0,0,6,94
27.0,0,6,94
28.0,0,5,95
29.0,0,3,97
30.0,0,3,97
31.0,0,3,97
32.0,0,3,97
33.0,0,3,97
34.0,0,3,97
35.0,0,3,97
36.0,0,3,97
37.0,0,3,97
38.0,0,2,98
39.0,0,2,98
40.0,0,2,98
41.0,0,2,98
42.0,0,1,99
43.0,0,0,100
44.0,0,0,100
45.0,0,0,100
46.0,0,0,100
47.0,0,0,100
48.0,0,0,100
49.0,0,0,100
50.0,0,0,100
51.0,0,0,100
