time,S,I,R
0.0,95,5,0
1.0,0,89,11
2.0,0,81,19
3.0,0,79,21
4.0,0,69,31
5.0,0,63,37
6.0,0,57,43
7.0,0,48,52
8.0,0,40,60
9.0,0,37,63
10.0,0,34,66
11.0,0,29,71
12.0,0,26,74
13.0,0,22,78
14.0,0,17,83
15.0,0,15,85
16.0,0,15,85
17.0,0,14,86
18.0,0,14,86
19.0,0,13,87
20.0,0,13,87
21.0,0,11,89
22.0,0,11,89
23.0,0,11,89
24.0,0,11,89
25.0,0,9,91
26.0,0,9,91
27.0,0,6,94
28.0,0,6,94
29.0,0,5,95
30.0,0,4,96
31.0,0,4,96
32.0,0,4,96
33.0,0,4,96
34.0,0,4,96
35.0,0,4,96
36.0,0,4,96
37.0,0,4,96
38.0,0,4,96
39.0,0,4,96
40.0,0,4,96
41.0,0,4,96
42.0,0,4,96
43.0,0,4,96
44.0,0,4,96
45.0,0,3,97
46.0,0,3,97
47.0,0,3,97
48.0,0,3,97
49.0,0,3,97
50.0,0,3,97
51.0,0,2,98
52.0,0,1,99
53.0,0,1,99
54.0,0,1,99
55.0,0,1,99
56.0,0,1,99
57.0,0,1,99
58.0,0,1,99
59.0,0,1,99
60.0,0,1,99
61.0,0,1,99
62.0,0,1,99
63.0,0,1,99
64.0,0,1,99
65.0,0,1,99
66.0,0,1,99
67.0,0,1,99
68.0,0,1,99
69.0,0,1,99
70.0,0,1,99
71.0,0,1,99
72.0,0,1,99
73.0,0,0,100
74.0,0,0,100
75.0,0,0,100
76.0,0,0,100
