time,S,I,R
0.0,95,5,0
1.0,0,86,14
2.0,0,77,23
3.0,0,72,28
4.0,0,65,35
5.0,0,56,44
6.0,0,51,49
7.0,0,48,52
8.0,0,43,57
9.0,0,37,63
10.0,0,32,68
11.0,0,30,70
12.0,0,28,72
13.0,0,24,76
14.0,0,20,80
15.0,0,18,82
16.0,0,13,87
17.0,0,11,89
18.0,0,10,90
19.0,0,9,91
20.0,0,8,92
21.0,0,7,93
22.0,0,6,94
23.0,0,3,97
24.0,0,3,97
25.0,0,3,97
26.0,0,2,98
27.0,0,1,99
28.0,0,1,99
29.0,0,1,99
30.0,0,1,99
31.0,0,1,99
32.0,0,0,100
33.0,0,0,100
34.0,0,0,100
35.0,0,0,100
36.0,0,0,100
37.0,0,0,100
38.0,0,0,100
39.0,0,0,100
40.0,0,0,100
