time,S,I,R
0.0,95,5,0
1.0,0,89,11
2.0,0,79,21
3.0,0,73,27
4.0,0,60,40
5.0,0,52,48
6.0,0,45,55
7.0,0,39,61
8.0,0,31,69
9.0,0,28,72
10.0,0,25,75
11.0,0,22,78
12.0,0,22,78
13.0,0,21,79
14.0,0,19,81
15.0,0,18,82
16.0,0,16,84
17.0,0,14,86
18.0,0,12,88
19.0,0,11,89
20.0,0,11,89
21.0,0,9,91
22.0,0,9,91
23.0,0,8,92
24.0,0,8,92
25.0,0,7,93
26.0,0,7,93
27.0,0,7,93
28.0,0,7,93
29.0,0,6,94
30.0,0,5,95
31.0,0,4,96
32.0,0,4,96
33.0,0,4,96
34.0,0,4,96
35.0,0,4,96
36.0,0,3,97
37.0,0,3,97
38.0,0,2,98
39.0,0,1,99
40.0,0,1,99
41.0,0,1,99
42.0,0,1,99
43.0,0,0,100
44.0,0,0,100
