time,S,I,R
0.0,95,5,0
1.0,0,89,11
2.0,0,83,17
3.0,0,73,27
4.0,0,63,37
5.0,0,60,40
6.0,0,53,47
7.0,0,48,52
8.0,0,42,58
9.0,0,35,65
10.0,0,30,70
11.0,0,28,72
12.0,0,22,78
13.0,0,20,80
14.0,0,18,82
15.0,0,17,83
16.0,0,15,85
17.0,0,15,85
18.0,0,15,85
19.0,0,13,87
20.0,0,11,89
21.0,0,11,89
22.0,0,10,90
23.0,0,9,91
24.0,0,8,92
25.0,0,7,93
26.0,0,7,93
27.0,0,7,93
28.0,0,6,94
29.0,0,4,96
30.0,0,3,97
31.0,0,2,98
32.0,0,1,99
33.0,0,1,99
34.0,0,1,99
35.0,0,0,100
36.0,0,0,100
37.0,0,0,100
38.0,0,0,100
39.0,0,0,100
40.0,0,0,100
41.0,0,0,100
42.0,0,0,100
43.0,0,0,100
44.0,0,0,100
45.0,0,0,100
46.0,0,0,100
