time,S,I,R
0.0,95,5,0
1.0,0,94,6
2.0,0,86,14
3.0,0,74,26
4.0,0,67,33
5.0,0,59,41
6.0,0,55,45
7.0,0,48,52
8.0,0,41,59
9.0,0,38,62
10.0,0,32,68
11.0,0,31,69
12.0,0,29,71
13.0,0,27,73
14.0,0,22,78
15.0,0,18,82
16.0,0,17,83
17.0,0,16,84
18.0,0,14,86
19.0,0,13,87
20.0,0,12,88
21.0,0,12,88
22.0,0,9,91
23.0,0,5,95
24.0,0,4,96
25.0,0,3,97
26.0,0,3,97
27.0,0,2,98
28.0,0,1,99
29.0,0,1,99
30.0,0,1,99
31.0,0,1,99
32.0,0,1,99
33.0,0,1,99
34.0,0,1,99
35.0,0,1,99
36.0,0,1,99
37.0,0,1,99
38.0,0,1,99
39.0,0,1,99
40.0,0,1,99
41.0,0,0,100
42.0,0,0,100
43.0,0,0,100
44.0,0,0,100
45.0,0,0,100
