time,S,I,R
0.0,95,5,0
1.0,0,93,7
2.0,0,85,15
3.0,0,80,20
4.0,0,70,30
5.0,0,63,37
6.0,0,58,42
7.0,0,56,44
8.0,0,49,51
9.0,0,48,52
10.0,0,40,60
11.0,0,33,67
12.0,0,28,72
13.0,0,26,74
14.0,0,21,79
15.0,0,18,82
16.0,0,17,83
17.0,0,17,83
18.0,0,14,86
19.0,0,14,86
20.0,0,12,88
21.0,0,11,89
22.0,0,10,90
23.0,0,9,91
24.0,0,8,92
25.0,0,8,92
26.0,0,7,93
27.0,0,7,93
28.0,0,6,94
29.0,0,5,95
30.0,0,4,96
31.0,0,4,96
32.0,0,3,97
33.0,0,2,98
34.0,0,2,98
35.0,0,2,98
36.0,0,2,98
37.0,0,2,98
38.0,0,2,98
39.0,0,1,99
40.0,0,1,99
41.0,0,1,99
42.0,0,1,99
43.0,0,1,99
44.0,0,0,100
45.0,0,0,100
46.0,0,0,100
47.0,0,0,100
48.0,0,0,100
