time,S,I,R
0.0,95,5,0
1.0,0,84,16
2.0,0,79,21
3.0,0,76,24
4.0,0,71,29
5.0,0,65,35
6.0,0,58,42
7.0,0,55,45
8.0,0,51,49
9.0,0,46,54
10.0,0,41,59
11.0,0,37,63
12.0,0,34,66
13.0,0,32,68
14.0,0,27,73
15.0,0,25,75
16.0,0,23,77
17.0,0,23,77
18.0,0,18,82
19.0,0,15,85
20.0,0,10,90
21.0,0,9,91
22.0,0,7,93
23.0,0,6,94
24.0,0,4,96
25.0,0,2,98
26.0,0,1,99
27.0,0,0,100
28.0,0,0,100
29.0,0,0,100
30.0,0,0,100
31.0,0,0,100
32.0,0,0,100
33.0,0,0,100
34.0,0,0,100
35.0,0,0,100
36.0,0,0,100
37.0,0,0,100
38.0,0,0,100
39.0,0,0,100
40.0,0,0,100
41.0,0,0,100
42.0,0,0,100
43.0,0,0,100
44.0,0,0,100
45.0,0,0,100
46.0,0,0,100
47.0,0,0,100
48.0,0,0,100
49.0,0,0,100
50.0,0,0,100
51.0,0,0,100
52.0,0,0,100
53.0,0,0,100
54.0,0,0,100
55.0,0,0,100
56.0,0,0,100
