time,S,I,R
0.0,95,5,0
1.0,0,93,7
2.0,0,84,16
3.0,0,76,24
4.0,0,69,31
5.0,0,61,39
6.0,0,58,42
7.0,0,49,51
8.0,0,47,53
9.0,0,45,55
10.0,0,42,58
11.0,0,38,62
12.0,0,36,64
13.0,0,34,66
14.0,0,32,68
15.0,0,29,71
16.0,0,26,74
17.0,0,22,78
18.0,0,22,78
19.0,0,19,81
20.0,0,14,86
21.0,0,14,86
22.0,0,14,86
23.0,0,14,86
24.0,0,14,86
25.0,0,11,89
26.0,0,11,89
27.0,0,11,89
28.0,0,10,90
29.0,0,9,91
30.0,0,8,92
31.0,0,7,93
32.0,0,7,93
33.0,0,7,93
34.0,0,7,93
35.0,0,7,93
36.0,0,7,93
37.0,0,6,94
38.0,0,5,95
39.0,0,2,98
40.0,0,1,99
41.0,0,1,99
42.0,0,1,99
43.0,0,1,99
44.0,0,1,99
45.0,0,0,100
46.0,0,0,100
47.0,0,0,100
48.0,0,0,100
49.0,0,0,100
50.0,0,0,100
51.0,0,0,100
52.0,0,0,100
