time,S,I,R
0.0,95,5,0
1.0,0,93,7
2.0,0,88,12
3.0,0,78,22
4.0,0,73,27
5.0,0,67,33
6.0,0,57,43
7.0,0,52,48
8.0,0,47,53
9.0,0,42,58
10.0,0,36,64
11.0,0,36,64
12.0,0,36,64
13.0,0,32,68
14.0,0,30,70
15.0,0,28,72
16.0,0,26,74
17.0,0,24,76
18.0,0,24,76
19.0,0,20,80
20.0,0,20,80
21.0,0,20,80
22.0,0,18,82
23.0,0,15,85
24.0,0,14,86
25.0,0,14,86
26.0,0,12,88
27.0,0,10,90
28.0,0,10,90
29.0,0,10,90
30.0,0,10,90
31.0,0,9,91
32.0,0,9,91
33.0,0,8,92
34.0,0,7,93
35.0,0,6,94
36.0,0,5,95
37.0,0,4,96
38.0,0,3,97
39.0,0,3,97
40.0,0,2,98
41.0,0,2,98
42.0,0,2,98
43.0,0,2,98
44.0,0,2,98
45.0,0,2,98
46.0,0,2,98
47.0,0,1,99
48.0,0,1,99
49.0,0,1,99
50.0,0,1,99
51.0,0,0,100
52.0,0,0,100
53.0,0,0,100
54.0,0,0,100
55.0,0,0,100
56.0,0,0,100
57.0,0,0,100
58.0,0,0,100
59.0,0,0,100
60.0,0,0,100
61.0,0,0,100
62.0,0,0,100
63.0,0,0,100
64.0,0,0,100
65.0,0,0,100
66.0,0,0,100
67.0,0,0,100
68.0,0,0,100
69.0,0,0,100
70.0,0,0,100
71.0,0,0,100
72.0,0,0,100
73.0,0,0,100
74.0,0,0,100
75.0,0,0,100
76.0,0,0,100
77.0,0,0,100
78.0,0,0,100
79.0,0,0,100
80.0,0,0,100
81.0,0,0,100
82.0,0,0,100
83.0,0,0,100
84.0,0,0,100
85.0,0,0,100
86.0,0,0,100
87.0,0,0,100
88.0,0,0,100
89.0,0,0,100
90.0,0,0,100
91.0,0,0,100
92.0,0,0,100
93.0,0,0,100
94.0,0,0,100
95.0,0,0,100
