time,S,I,R
0.0,95,5,0
1.0,0,92,8
2.0,0,77,23
3.0,0,68,32
4.0,0,60,40
5.0,0,59,41
6.0,0,54,46
7.0,0,50,50
8.0,0,46,54
9.0,0,41,59
10.0,0,33,67
11.0,0,25,75
12.0,0,23,77
13.0,0,18,82
14.0,0,15,85
15.0,0,15,85
16.0,0,12,88
17.0,0,11,89
18.0,0,9,91
19.0,0,9,91
20.0,0,9,91
21.0,0,8,92
22.0,0,7,93
23.0,0,6,94
24.0,0,6,94
25.0,0,6,94
26.0,0,6,94
27.0,0,5,95
28.0,0,5,95
29.0,0,4,96
30.0,0,3,97
31.0,0,2,98
32.0,0,2,98
33.0,0,1,99
34.0,0,1,99
35.0,0,1,99
36.0,0,1,99
37.0,0,1,99
38.0,0,0,100
39.0,0,0,100
40.0,0,0,100
41.0,0,0,100
42.0,0,0,100
43.0,0,0,100
44.0,0,0,100
45.0,0,0,100
