time,S,I,R
0.0,95,5,0
1.0,0,94,6
2.0,0,82,18
3.0,0,78,22
4.0,0,70,30
5.0,0,65,35
6.0,0,63,37
7.0,0,58,42
8.0,0,52,48
9.0,0,44,56
10.0,0,36,64
11.0,0,36,64
12.0,0,32,68
13.0,0,30,70
14.0,0,24,76
15.0,0,20,80
16.0,0,19,81
17.0,0,16,84
18.0,0,15,85
19.0,0,15,85
20.0,0,14,86
21.0,0,13,87
22.0,0,12,88
23.0,0,11,89
24.0,0,10,90
25.0,0,10,90
26.0,0,8,92
27.0,0,8,92
28.0,0,7,93
29.0,0,6,94
30.0,0,6,94
31.0,0,6,94
32.0,0,4,96
33.0,0,4,96
34.0,0,4,96
35.0,0,3,97
36.0,0,3,97
37.0,0,2,98
38.0,0,1,99
39.0,0,1,99
40.0,0,1,99
41.0,0,1,99
42.0,0,1,99
43.0,0,1,99
44.0,0,1,99
45.0,0,1,99
46.0,0,0,100
47.0,0,0,100
