time,S,I,R
0.0,95,5,0
1.0,0,91,9
2.0,0,75,25
3.0,0,66,34
4.0,0,57,43
5.0,0,53,47
6.0,0,51,49
7.0,0,46,54
8.0,0,39,61
9.0,0,37,63
10.0,0,32,68
11.0,0,28,72
12.0,0,24,76
13.0,0,23,77
14.0,0,22,78
15.0,0,21,79
16.0,0,20,80
17.0,0,19,81
18.0,0,19,81
19.0,0,19,81
20.0,0,18,82
21.0,0,17,83
22.0,0,15,85
23.0,0,15,85
24.0,0,10,90
25.0,0,9,91
26.0,0,7,93
27.0,0,6,94
28.0,0,6,94
29.0,0,6,94
30.0,0,6,94
31.0,0,5,95
32.0,0,5,95
33.0,0,4,96
34.0,0,2,98
35.0,0,2,98
36.0,0,2,98
37.0,0,2,98
38.0,0,1,99
39.0,0,1,99
40.0,0,0,100
41.0,0,0,100
42.0,0,0,100
43.0,0,0,100
44.0,0,0,100
45.0,0,0,100
46.0,0,0,100
47.0,0,0,100
