time,S,I,R
0.0,95,5,0
1.0,0,91,9
2.0,0,84,16
3.0,0,73,27
4.0,0,66,34
5.0,0,61,39
6.0,0,55,45
7.0,0,46,54
8.0,0,42,58
9.0,0,39,61
10.0,0,34,66
11.0,0,32,68
12.0,0,27,73
13.0,0,24,76
14.0,0,23,77
15.0,0,21,79
16.0,0,16,84
17.0,0,14,86
18.0,0,12,88
19.0,0,10,90
20.0,0,8,92
21.0,0,8,92
22.0,0,8,92
23.0,0,7,93
24.0,0,6,94
25.0,0,5,95
26.0,0,5,95
27.0,0,5,95
28.0,0,4,96
29.0,0,4,96
30.0,0,3,97
31.0,0,3,97
32.0,0,3,97
33.0,0,2,98
34.0,0,2,98
35.0,0,2,98
36.0,0,2,98
37.0,0,2,98
38.0,0,2,98
39.0,0,2,98
40.0,0,2,98
41.0,0,2,98
42.0,0,2,98
43.0,0,2,98
44.0,0,2,98
45.0,0,1,99
46.0,0,1,99
47.0,0,1,99
48.0,0,1,99
49.0,0,0,100
