time,S,I,R
0.0,95,5,0
1.0,0,89,11
2.0,0,81,19
3.0,0,69,31
4.0,0,64,36
5.0,0,60,40
6.0,0,57,43
7.0,0,52,48
8.0,0,47,53
9.0,0,42,58
10.0,0,37,63
11.0,0,31,69
12.0,0,29,71
13.0,0,28,72
14.0,0,25,75
15.0,0,21,79
16.0,0,19,81
17.0,0,16,84
18.0,0,15,85
19.0,0,13,87
20.0,0,12,88
21.0,0,12,88
22.0,0,11,89
23.0,0,10,90
24.0,0,10,90
25.0,0,9,91
26.0,0,9,91
27.0,0,8,92
28.0,0,8,92
29.0,0,8,92
30.0,0,7,93
31.0,0,6,94
32.0,0,6,94
33.0,0,6,94
34.0,0,6,94
35.0,0,6,94
36.0,0,6,94
37.0,0,5,95
38.0,0,5,95
39.0,0,4,96
40.0,0,2,98
41.0,0,1,99
42.0,0,1,99
43.0,0,1,99
44.0,0,1,99
45.0,0,0,100
46.0,0,0,100
47.0,0,0,100
48.0,0,0,100
49.0,0,0,100
50.0,0,0,100
51.0,0,0,100
52.0,0,0,100
53.0,0,0,100
54.0,0,0,100
55.0,0,0,100
56.0,0,0,100
57.0,0,0,100
58.0,0,0,100
59.0,0,0,100
60.0,0,0,100
61.0,0,0,100
62.0,0,0,100
63.0,0,0,100
64.0,0,0,100
65.0,0,0,100
66.0,0,0,100
67.0,0,0,100
68.0,0,0,100
