time,S,I,R
0.0,95,5,0
1.0,0,88,12
2.0,0,79,21
3.0,0,72,28
4.0,0,68,32
5.0,0,64,36
6.0,0,56,44
7.0,0,50,50
8.0,0,43,57
9.0,0,39,61
10.0,0,36,64
11.0,0,33,67
12.0,0,32,68
13.0,0,29,71
14.0,0,26,74
15.0,0,24,76
16.0,0,23,77
17.0,0,21,79
18.0,0,19,81
19.0,0,14,86
20.0,0,12,88
21.0,0,10,90
22.0,0,10,90
23.0,0,10,90
24.0,0,8,92
25.0,0,6,94
26.0,0,5,95
27.0,0,3,97
28.0,0,3,97
29.0,0,3,97
30.0,0,3,97
31.0,0,3,97
32.0,0,3,97
33.0,0,3,97
34.0,0,2,98
35.0,0,1,99
36.0,0,1,99
37.0,0,1,99
38.0,0,1,99
39.0,0,1,99
40.0,0,1,99
41.0,0,0,100
42.0,0,0,100
