time,S,I,R
0.0,95,5,0
1.0,0,90,10
2.0,0,88,12
3.0,0,82,18
4.0,0,74,26
5.0,0,69,31
6.0,0,60,40
7.0,0,54,46
8.0,0,46,54
9.0,0,41,59
10.0,0,37,63
11.0,0,32,68
12.0,0,30,70
13.0,0,28,72
14.0,0,25,75
15.0,0,21,79
16.0,0,19,81
17.0,0,17,83
18.0,0,16,84
19.0,0,15,85
20.0,0,14,86
21.0,0,14,86
22.0,0,13,87
23.0,0,13,87
24.0,0,12,88
25.0,0,11,89
26.0,0,10,90
27.0,0,9,91
28.0,0,8,92
29.0,0,8,92
30.0,0,6,94
31.0,0,5,95
32.0,0,5,95
33.0,0,5,95
34.0,0,3,97
35.0,0,2,98
36.0,0,2,98
37.0,0,2,98
38.0,0,2,98
39.0,0,2,98
40.0,0,2,98
41.0,0,1,99
42.0,0,1,99
43.0,0,0,100
44.0,0,0,100
45.0,0,0,100
46.0,0,0,100
47.0,0,0,100
