time,S,I,R
0.0,95,5,0
1.0,0,90,10
2.0,0,80,20
3.0,0,72,28
4.0,0,66,34
5.0,0,64,36
6.0,0,58,42
7.0,0,52,48
8.0,0,48,52
9.0,0,42,58
10.0,0,40,60
11.0,0,35,65
12.0,0,31,69
13.0,0,29,71
14.0,0,27,73
15.0,0,24,76
16.0,0,21,79
17.0,0,20,80
18.0,0,16,84
19.0,0,14,86
20.0,0,14,86
21.0,0,13,87
22.0,0,13,87
23.0,0,13,87
24.0,0,10,90
25.0,0,9,91
26.0,0,8,92
27.0,0,8,92
28.0,0,6,94
29.0,0,5,95
30.0,0,5,95
31.0,0,5,95
32.0,0,5,95
33.0,0,4,96
34.0,0,4,96
35.0,0,4,96
36.0,0,4,96
37.0,0,4,96
38.0,0,1,99
39.0,0,0,100
40.0,0,0,100
41.0,0,0,100
