time,S,I,R
0.0,95,5,0
1.0,0,86,14
2.0,0,75,25
3.0,0,64,36
4.0,0,61,39
5.0,0,57,43
6.0,0,50,50
7.0,0,46,54
8.0,0,41,59
9.0,0,33,67
10.0,0,32,68
11.0,0,26,74
12.0,0,23,77
13.0,0,22,78
14.0,0,22,78
15.0,0,19,81
16.0,0,14,86
17.0,0,13,87
18.0,0,12,88
19.0,0,10,90
20.0,0,9,91
21.0,0,9,91
22.0,0,7,93
23.0,0,6,94
24.0,0,4,96
25.0,0,3,97
26.0,0,3,97
27.0,0,2,98
28.0,0,2,98
29.0,0,1,99
30.0,0,1,99
31.0,0,1,99
32.0,0,0,100
33.0,0,0,100
34.0,0,0,100
35.0,0,0,100
36.0,0,0,100
37.0,0,0,100
38.0,0,0,100
39.0,0,0,100
40.0,0,0,100
41.0,0,0,100
