time,S,I,R
0.0,95,5,0
1.0,0,91,9
2.0,0,82,18
3.0,0,72,28
4.0,0,63,37
5.0,0,59,41
6.0,0,56,44
7.0,0,53,47
8.0,0,44,56
9.0,0,36,64
10.0,0,34,66
11.0,0,29,71
12.0,0,26,74
13.0,0,25,75
14.0,0,23,77
15.0,0,20,80
16.0,0,17,83
17.0,0,17,83
18.0,0,15,85
19.0,0,11,89
20.0,0,8,92
21.0,0,8,92
22.0,0,7,93
23.0,0,5,95
24.0,0,5,95
25.0,0,5,95
26.0,0,5,95
27.0,0,5,95
28.0,0,4,96
29.0,0,4,96
30.0,0,3,97
31.0,0,3,97
32.0,0,2,98
33.0,0,2,98
34.0,0,2,98
35.0,0,2,98
36.0,0,1,99
37.0,0,1,99
38.0,0,0,100
39.0,0,0,100
40.0,0,0,100
