time,S,I,R
0.0,95,5,0
1.0,0,84,16
2.0,0,76,24
3.0,0,68,32
4.0,0,63,37
5.0,0,57,43
6.0,0,54,46
7.0,0,45,55
8.0,0,41,59
9.0,0,38,62
10.0,0,33,67
11.0,0,31,69
12.0,0,27,73
13.0,0,21,79
14.0,0,18,82
15.0,0,17,83
16.0,0,16,84
17.0,0,15,85
18.0,0,14,86
19.0,0,14,86
20.0,0,11,89
21.0,0,9,91
22.0,0,8,92
23.0,0,5,95
24.0,0,4,96
25.0,0,4,96
26.0,0,4,96
27.0,0,3,97
28.0,0,3,97
29.0,0,2,98
30.0,0,2,98
31.0,0,2,98
32.0,0,2,98
33.0,0,2,98
34.0,0,2,98
35.0,0,1,99
36.0,0,0,100
37.0,0,0,100
38.0,0,0,100
39.0,0,0,100
40.0,0,0,100
41.0,0,0,100
42.0,0,0,100
43.0,0,0,100
44.0,0,0,100
45.0,0,0,100
46.0,0,0,100
