time,S,I,R
0.0,95,5,0
1.0,0,88,12
2.0,0,79,21
3.0,0,70,30
4.0,0,64,36
5.0,0,56,44
6.0,0,48,52
7.0,0,41,59
8.0,0,38,62
9.0,0,34,66
10.0,0,32,68
11.0,0,27,73
12.0,0,24,76
13.0,0,21,79
14.0,0,20,80
15.0,0,16,84
16.0,0,14,86
17.0,0,12,88
18.0,0,11,89
19.0,0,10,90
20.0,0,10,90
21.0,0,9,91
22.0,0,8,92
23.0,0,8,92
24.0,0,7,93
25.0,0,6,94
26.0,0,6,94
27.0,0,5,95
28.0,0,5,95
29.0,0,5,95
30.0,0,4,96
31.0,0,2,98
32.0,0,2,98
33.0,0,2,98
34.0,0,1,99
35.0,0,1,99
36.0,0,1,99
37.0,0,1,99
38.0,0,1,99
39.0,0,1,99
40.0,0,1,99
41.0,0,0,100
42.0,0,0,100
43.0,0,0,100
44.0,0,0,100
45.0,0,0,100
46.0,0,0,100
47.0,0,0,100
48.0,0,0,100
