time,S,I,R
0.0,95,5,0
1.0,0,90,10
2.0,0,79,21
3.0,0,74,26
4.0,0,69,31
5.0,0,61,39
6.0,0,51,49
7.0,0,46,54
8.0,0,42,58
9.0,0,38,62
10.0,0,35,65
11.0,0,34,66
12.0,0,30,70
13.0,0,25,75
14.0,0,23,77
15.0,0,19,81
16.0,0,17,83
17.0,0,15,85
18.0,0,15,85
19.0,0,13,87
20.0,0,12,88
21.0,0,10,90
22.0,0,10,90
23.0,0,9,91
24.0,0,8,92
25.0,0,8,92
26.0,0,8,92
27.0,0,6,94
28.0,0,6,94
29.0,0,6,94
30.0,0,6,94
31.0,0,6,94
32.0,0,5,95
33.0,0,5,95
34.0,0,4,96
35.0,0,4,96
36.0,0,4,96
37.0,0,3,97
38.0,0,2,98
39.0,0,1,99
40.0,0,1,99
41.0,0,1,99
42.0,0,1,99
43.0,0,1,99
44.0,0,1,99
45.0,0,1,99
46.0,0,1,99
47.0,0,1,99
48.0,0,1,99
49.0,0,1,99
50.0,0,1,99
51.0,0,1,99
52.0,0,1,99
53.0,0,1,99
54.0,0,1,99
55.0,0,1,99
56.0,0,0,100
57.0,0,0,100
