time,S,I,R
0.0,95,5,0
1.0,0,91,9
2.0,0,83,17
3.0,0,75,25
4.0,0,70,30
5.0,0,59,41
6.0,0,53,47
7.0,0,45,55
8.0,0,38,62
9.0,0,36,64
10.0,0,34,66
11.0,0,34,66
12.0,0,33,67
13.0,0,30,70
14.0,0,29,71
15.0,0,28,72
16.0,0,25,75
17.0,0,23,77
18.0,0,23,77
19.0,0,20,80
20.0,0,16,84
21.0,0,15,85
22.0,0,14,86
23.0,0,12,88
24.0,0,12,88
25.0,0,12,88
26.0,0,10,90
27.0,0,7,93
28.0,0,7,93
29.0,0,7,93
30.0,0,6,94
31.0,0,4,96
32.0,0,4,96
33.0,0,4,96
34.0,0,4,96
35.0,0,4,96
36.0,0,3,97
37.0,0,3,97
38.0,0,3,97
39.0,0,2,98
40.0,0,2,98
41.0,0,2,98
42.0,0,1,99
43.0,0,1,99
44.0,0,1,99
45.0,0,1,99
46.0,0,1,99
47.0,0,1,99
48.0,0,1,99
49.0,0,1,99
50.0,0,1,99
51.0,0,0,100
52.0,0,0,100
