time,S,I,R
0.0,95,5,0
1.0,0,91,9
2.0,0,80,20
3.0,0,70,30
4.0,0,64,36
5.0,0,55,45
6.0,0,51,49
7.0,0,44,56
8.0,0,40,60
9.0,0,37,63
10.0,0,35,65
11.0,0,32,68
12.0,0,31,69
13.0,0,28,72
14.0,0,26,74
15.0,0,25,75
16.0,0,23,77
17.0,0,19,81
18.0,0,14,86
19.0,0,11,89
20.0,0,9,91
21.0,0,9,91
22.0,0,8,92
23.0,0,8,92
24.0,0,8,92
25.0,0,7,93
26.0,0,6,94
27.0,0,6,94
28.0,0,6,94
29.0,0,6,94
30.0,0,5,95
31.0,0,5,95
32.0,0,5,95
33.0,0,5,95
34.0,0,5,95
35.0,0,5,95
36.0,0,5,95
37.0,0,5,95
38.0,0,5,95
39.0,0,5,95
40.0,0,5,95
41.0,0,3,97
42.0,0,3,97
43.0,0,2,98
44.0,0,2,98
45.0,0,2,98
46.0,0,2,98
47.0,0,2,98
48.0,0,2,98
49.0,0,1,99
50.0,0,1,99
51.0,0,1,99
52.0,0,0,100
53.0,0,0,100
54.0,0,0,100
55.0,0,0,100
56.0,0,0,100
57.0,0,0,100
58.0,0,0,100
59.0,0,0,100
60.0,0,0,100
61.0,0,0,100
62.0,0,0,100
