time,S,I,R
0.0,95,5,0
1.0,0,85,15
2.0,0,73,27
3.0,0,64,36
4.0,0,58,42
5.0,0,53,47
6.0,0,47,53
7.0,0,41,59
8.0,0,36,64
9.0,0,35,65
10.0,0,32,68
11.0,0,30,70
12.0,0,26,74
13.0,0,23,77
14.0,0,22,78
15.0,0,21,79
16.0,0,19,81
17.0,0,19,81
18.0,0,17,83
19.0,0,16,84
20.0,0,15,85
21.0,0,15,85
22.0,0,14,86
23.0,0,14,86
24.0,0,13,87
25.0,0,13,87
26.0,0,11,89
27.0,0,11,89
28.0,0,10,90
29.0,0,10,90
30.0,0,9,91
31.0,0,8,92
32.0,0,7,93
33.0,0,7,93
34.0,0,5,95
35.0,0,4,96
36.0,0,4,96
37.0,0,4,96
38.0,0,2,98
39.0,0,2,98
40.0,0,1,99
41.0,0,1,99
42.0,0,0,100
