time,S,I,R
0.0,95,5,0
1.0,0,86,14
2.0,0,81,19
3.0,0,71,29
4.0,0,65,35
5.0,0,59,41
6.0,0,54,46
7.0,0,48,52
8.0,0,45,55
9.0,0,40,60
10.0,0,33,67
11.0,0,28,72
12.0,0,27,73
13.0,0,25,75
14.0,0,22,78
15.0,0,19,81
16.0,0,18,82
17.0,0,16,84
18.0,0,15,85
19.0,0,15,85
20.0,0,12,88
21.0,0,11,89
22.0,0,11,89
23.0,0,10,90
24.0,0,10,90
25.0,0,10,90
26.0,0,9,91
27.0,0,8,92
28.0,0,8,92
29.0,0,7,93
30.0,0,6,94
31.0,0,6,94
32.0,0,6,94
33.0,0,4,96
34.0,0,4,96
35.0,0,4,96
36.0,0,4,96
37.0,0,4,96
38.0,0,3,97
39.0,0,2,98
40.0,0,1,99
41.0,0,1,99
42.0,0,1,99
