time,S,I,R
0.0,95,5,0
1.0,0,86,14
2.0,0,75,25
3.0,0,68,32
4.0,0,59,41
5.0,0,54,46
6.0,0,46,54
7.0,0,38,62
8.0,0,34,66
9.0,0,32,68
10.0,0,29,71
11.0,0,26,74
12.0,0,23,77
13.0,0,22,78
14.0,0,20,80
15.0,0,17,83
16.0,0,16,84
17.0,0,15,85
18.0,0,14,86
19.0,0,13,87
20.0,0,10,90
21.0,0,9,91
22.0,0,8,92
23.0,0,8,92
24.0,0,6,94
25.0,0,5,95
26.0,0,5,95
27.0,0,5,95
28.0,0,5,95
29.0,0,5,95
30.0,0,4,96
31.0,0,3,97
32.0,0,2,98
33.0,0,2,98
34.0,0,1,99
35.0,0,0,100
36.0,0,0,100
37.0,0,0,100
38.0,0,0,100
39.0,0,0,100
40.0,0,0,100
41.0,0,0,100
42.0,0,0,100
43.0,0,0,100
44.0,0,0,100
45.0,0,0,100
46.0,0,0,100
47.0,0,0,100
48.0,0,0,100
