time,S,I,R
0.0,95,5,0
1.0,0,89,11
2.0,0,82,18
3.0,0,76,24
4.0,0,67,33
5.0,0,58,42
6.0,0,54,46
7.0,0,50,50
8.0,0,44,56
9.0,0,40,60
10.0,0,38,62
11.0,0,32,68
12.0,0,31,69
13.0,0,31,69
14.0,0,30,70
15.0,0,25,75
16.0,0,23,77
17.0,0,22,78
18.0,0,21,79
19.0,0,18,82
20.0,0,15,85
21.0,0,15,85
22.0,0,11,89
23.0,0,10,90
24.0,0,9,91
25.0,0,7,93
26.0,0,6,94
27.0,0,6,94
28.0,0,5,95
29.0,0,5,95
30.0,0,5,95
31.0,0,5,95
32.0,0,3,97
33.0,0,1,99
34.0,0,1,99
35.0,0,0,100
36.0,0,0,100
37.0,0,0,100
38.0,0,0,100
39.0,0,0,100
