time,S,I,R
0.0,95,5,0
1.0,0,92,8
2.0,0,88,12
3.0,0,84,16
4.0,0,75,25
5.0,0,62,38
6.0,0,52,48
7.0,0,47,53
8.0,0,41,59
9.0,0,33,67
10.0,0,30,70
11.0,0,28,72
12.0,0,26,74
13.0,0,24,76
14.0,0,24,76
15.0,0,22,78
16.0,0,20,80
17.0,0,20,80
18.0,0,17,83
19.0,0,14,86
20.0,0,13,87
21.0,0,13,87
22.0,0,11,89
23.0,0,10,90
24.0,0,10,90
25.0,0,10,90
26.0,0,8,92
27.0,0,8,92
28.0,0,5,95
29.0,0,5,95
30.0,0,5,95
31.0,0,5,95
32.0,0,5,95
33.0,0,5,95
34.0,0,5,95
35.0,0,5,95
36.0,0,5,95
37.0,0,4,96
38.0,0,3,97
39.0,0,3,97
40.0,0,3,97
41.0,0,3,97
42.0,0,3,97
43.0,0,3,97
44.0,0,2,98
45.0,0,2,98
46.0,0,2,98
47.0,0,2,98
48.0,0,2,98
49.0,0,2,98
50.0,0,1,99
51.0,0,1,99
52.0,0,1,99
53.0,0,1,99
54.0,0,1,99
55.0,0,0,100
56.0,0,0,100
57.0,0,0,100
58.0,0,0,100
59.0,0,0,100
60.0,0,0,100
61.0,0,0,100
62.0,0,0,100
63.0,0,0,100
64.0,0,0,100
