time,S,I,R
0.0,95,5,0
1.0,0,88,12
2.0,0,81,19
3.0,0,75,25
4.0,0,69,31
5.0,0,65,35
6.0,0,57,43
7.0,0,51,49
8.0,0,45,55
9.0,0,40,60
10.0,0,37,63
11.0,0,34,66
12.0,0,26,74
13.0,0,25,75
14.0,0,23,77
15.0,0,21,79
16.0,0,21,79
17.0,0,20,80
18.0,0,18,82
19.0,0,15,85
20.0,0,14,86
21.0,0,11,89
22.0,0,10,90
23.0,0,7,93
24.0,0,7,93
25.0,0,6,94
26.0,0,5,95
27.0,0,5,95
28.0,0,5,95
29.0,0,4,96
30.0,0,4,96
31.0,0,3,97
32.0,0,3,97
33.0,0,3,97
34.0,0,3,97
35.0,0,3,97
36.0,0,2,98
37.0,0,1,99
38.0,0,1,99
39.0,0,1,99
40.0,0,0,100
41.0,0,0,100
42.0,0,0,100
43.0,0,0,100
