time,S,I,R
0.0,95,5,0
1.0,0,93,7
2.0,0,83,17
3.0,0,80,20
4.0,0,67,33
5.0,0,61,39
6.0,0,56,44
7.0,0,52,48
8.0,0,48,52
9.0,0,43,57
10.0,0,40,60
11.0,0,37,63
12.0,0,34,66
13.0,0,30,70
14.0,0,29,71
15.0,0,25,75
16.0,0,24,76
17.0,0,18,82
18.0,0,17,83
19.0,0,16,84
20.0,0,16,84
21.0,0,15,85
22.0,0,14,86
23.0,0,13,87
24.0,0,11,89
25.0,0,10,90
26.0,0,10,90
27.0,0,10,90
28.0,0,10,90
29.0,0,10,90
30.0,0,10,90
31.0,0,10,90
32.0,0,10,90
33.0,0,10,90
34.0,0,9,91
35.0,0,6,94
36.0,0,5,95
37.0,0,5,95
38.0,0,5,95
39.0,0,5,95
40.0,0,5,95
41.0,0,5,95
42.0,0,5,95
43.0,0,5,95
44.0,0,5,95
45.0,0,4,96
46.0,0,4,96
47.0,0,4,96
48.0,0,2,98
49.0,0,2,98
50.0,0,2,98
51.0,0,2,98
52.0,0,2,98
53.0,0,2,98
54.0,0,2,98
55.0,0,2,98
56.0,0,2,98
57.0,0,2,98
58.0,0,0,100
59.0,0,0,100
60.0,0,0,100
61.0,0,0,100
62.0,0,0,100
63.0,0,0,100
64.0,0,0,100
65.0,0,0,100
66.0,0,0,100
67.0,0,0,100
