time,S,I,R
0.0,95,5,0
1.0,0,90,10
2.0,0,86,14
3.0,0,80,20
4.0,0,70,30
5.0,0,63,37
6.0,0,55,45
7.0,0,47,53
8.0,0,42,58
9.0,0,38,62
10.0,0,36,64
11.0,0,31,69
12.0,0,27,73
13.0,0,26,74
14.0,0,24,76
15.0,0,20,80
16.0,0,19,81
17.0,0,19,81
18.0,0,19,81
19.0,0,17,83
20.0,0,16,84
21.0,0,13,87
22.0,0,10,90
23.0,0,9,91
24.0,0,7,93
25.0,0,4,96
26.0,0,4,96
27.0,0,4,96
28.0,0,3,97
29.0,0,3,97
30.0,0,3,97
31.0,0,3,97
32.0,0,1,99
33.0,0,1,99
34.0,0,1,99
35.0,0,1,99
36.0,0,1,99
37.0,0,1,99
38.0,0,1,99
39.0,0,1,99
40.0,0,0,100
41.0,0,0,100
42.0,0,0,100
43.0,0,0,100
44.0,0,0,100
45.0,0,0,100
46.0,0,0,100
47.0,0,0,100
48.0,0,0,100
49.0,0,0,100
50.0,0,0,100
51.0,0,0,100
52.0,0,0,100
53.0,0,0,100
54.0,0,0,100
55.0,0,0,100
56.0,0,0,100
57.0,0,0,100
