beta,gamma,time,S,I,R,num_simulations,timestamp
0.1,0.1,75.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991785
0.1,0.1,76.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991786
0.1,0.1,77.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991787
0.1,0.1,78.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991788
0.1,0.1,79.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991789
0.1,0.1,80.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991790
0.1,0.1,81.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991791
0.1,0.1,82.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991792
0.1,0.1,83.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991793
0.1,0.1,84.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991794
0.1,0.1,85.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991795
0.1,0.1,86.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991796
0.1,0.1,87.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991797
0.1,0.1,88.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991798
0.1,0.1,89.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991799
0.1,0.1,90.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991800
0.1,0.1,91.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991801
0.1,0.1,92.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991802
0.1,0.1,93.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991803
0.1,0.1,94.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991804
0.1,0.1,95.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991805
0.1,0.1,96.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991806
0.1,0.1,97.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991807
0.1,0.1,98.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991808
0.1,0.1,99.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991809
0.1,0.1,100.0,0.0,0.02,99.98,50,2025-04-07T21:22:51.991810
0.1,0.2,0.0,95.0,5.0,0.0,50,2025-04-07T21:22:52.028270
0.1,0.2,1.0,0.06,86.98,12.96,50,2025-04-07T21:22:52.028277
0.1,0.2,2.0,0.0,71.56,28.44,50,2025-04-07T21:22:52.028278
0.1,0.2,3.0,0.0,57.9,42.1,50,2025-04-07T21:22:52.028279
0.1,0.2,4.0,0.0,47.62,52.38,50,2025-04-07T21:22:52.028280
0.1,0.2,5.0,0.0,38.08,61.92,50,2025-04-07T21:22:52.028281
0.1,0.2,6.0,0.0,30.6,69.4,50,2025-04-07T21:22:52.028282
0.1,0.2,7.0,0.0,24.86,75.14,50,2025-04-07T21:22:52.028283
0.1,0.2,8.0,0.0,19.7,80.3,50,2025-04-07T21:22:52.028288
0.1,0.2,9.0,0.0,15.66,84.34,50,2025-04-07T21:22:52.028289
0.1,0.2,10.0,0.0,12.44,87.56,50,2025-04-07T21:22:52.028290
0.1,0.2,11.0,0.0,9.84,90.16,50,2025-04-07T21:22:52.028291
0.1,0.2,12.0,0.0,7.78,92.22,50,2025-04-07T21:22:52.028292
0.1,0.2,13.0,0.0,6.28,93.72,50,2025-04-07T21:22:52.028293
0.1,0.2,14.0,0.0,5.36,94.64,50,2025-04-07T21:22:52.028294
0.1,0.2,15.0,0.0,4.0,96.0,50,2025-04-07T21:22:52.028295
0.1,0.2,16.0,0.0,2.94,97.06,50,2025-04-07T21:22:52.028296
0.1,0.2,17.0,0.0,2.2,97.8,50,2025-04-07T21:22:52.028297
0.1,0.2,18.0,0.0,1.88,98.12,50,2025-04-07T21:22:52.028310
0.1,0.2,19.0,0.0,1.44,98.56,50,2025-04-07T21:22:52.028311
0.1,0.2,20.0,0.0,1.16,98.84,50,2025-04-07T21:22:52.028312
0.1,0.2,21.0,0.0,0.94,99.06,50,2025-04-07T21:22:52.028313
0.1,0.2,22.0,0.0,0.7,99.3,50,2025-04-07T21:22:52.028314
0.1,0.2,23.0,0.0,0.46,99.54,50,2025-04-07T21:22:52.028315
0.1,0.2,24.0,0.0,0.32,99.68,50,2025-04-07T21:22:52.028316
0.1,0.2,25.0,0.0,0.22,99.78,50,2025-04-07T21:22:52.028317
0.1,0.2,26.0,0.0,0.16,99.84,50,2025-04-07T21:22:52.028318
0.1,0.2,27.0,0.0,0.1,99.9,50,2025-04-07T21:22:52.028319
0.1,0.2,28.0,0.0,0.1,99.9,50,2025-04-07T21:22:52.028320
0.1,0.2,29.0,0.0,0.08,99.92,50,2025-04-07T21:22:52.028321
0.1,0.2,30.0,0.0,0.08,99.92,50,2025-04-07T21:22:52.028323
0.1,0.2,31.0,0.0,0.08,99.92,50,2025-04-07T21:22:52.028324
0.1,0.2,32.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028325
0.1,0.2,33.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028326
0.1,0.2,34.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028326
0.1,0.2,35.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028328
0.1,0.2,36.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028329
0.1,0.2,37.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028330
0.1,0.2,38.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028331
0.1,0.2,39.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028332
0.1,0.2,40.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028333
0.1,0.2,41.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028334
0.1,0.2,42.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028335
0.1,0.2,43.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028336
0.1,0.2,44.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028337
0.1,0.2,45.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028338
0.1,0.2,46.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028339
0.1,0.2,47.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028340
0.1,0.2,48.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028345
0.1,0.2,49.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028346
0.1,0.2,50.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028347
0.1,0.2,51.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028348
0.1,0.2,52.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028349
0.1,0.2,53.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028351
0.1,0.2,54.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028352
0.1,0.2,55.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028353
0.1,0.2,56.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028354
0.1,0.2,57.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028355
0.1,0.2,58.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028355
0.1,0.2,59.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028356
0.1,0.2,60.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028357
0.1,0.2,61.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028358
0.1,0.2,62.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028359
0.1,0.2,63.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028360
0.1,0.2,64.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028361
0.1,0.2,65.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028362
0.1,0.2,66.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028363
0.1,0.2,67.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028364
0.1,0.2,68.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028365
0.1,0.2,69.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028366
0.1,0.2,70.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028367
0.1,0.2,71.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028368
0.1,0.2,72.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028369
0.1,0.2,73.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028370
0.1,0.2,74.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028371
0.1,0.2,75.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028372
0.1,0.2,76.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028373
0.1,0.2,77.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028374
0.1,0.2,78.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028375
0.1,0.2,79.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028376
0.1,0.2,80.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028377
0.1,0.2,81.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028378
0.1,0.2,82.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028379
0.1,0.2,83.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028380
0.1,0.2,84.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028381
0.1,0.2,85.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028382
0.1,0.2,86.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028383
0.1,0.2,87.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028384
0.1,0.2,88.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028385
0.1,0.2,89.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028386
0.1,0.2,90.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028387
0.1,0.2,91.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028388
0.1,0.2,92.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028389
0.1,0.2,93.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028390
0.1,0.2,94.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028391
0.1,0.2,95.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028392
0.1,0.2,96.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028398
0.1,0.2,97.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028399
0.1,0.2,98.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028400
0.1,0.2,99.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028401
0.1,0.2,100.0,0.0,0.06,99.94,50,2025-04-07T21:22:52.028402
0.1,0.3,0.0,95.0,5.0,0.0,50,2025-04-07T21:22:52.064107
0.1,0.3,1.0,0.34,79.22,20.44,50,2025-04-07T21:22:52.064113
0.1,0.3,2.0,0.0,59.42,40.58,50,2025-04-07T21:22:52.064115
0.1,0.3,3.0,0.0,43.18,56.82,50,2025-04-07T21:22:52.064116
0.1,0.3,4.0,0.0,32.04,67.96,50,2025-04-07T21:22:52.064117
0.1,0.3,5.0,0.0,23.6,76.4,50,2025-04-07T21:22:52.064118
0.1,0.3,6.0,0.0,17.24,82.76,50,2025-04-07T21:22:52.064119
0.1,0.3,7.0,0.0,12.68,87.32,50,2025-04-07T21:22:52.064120
0.1,0.3,8.0,0.0,9.32,90.68,50,2025-04-07T21:22:52.064121
0.1,0.3,9.0,0.0,6.7,93.3,50,2025-04-07T21:22:52.064122
0.1,0.3,10.0,0.0,4.62,95.38,50,2025-04-07T21:22:52.064123
0.1,0.3,11.0,0.0,3.24,96.76,50,2025-04-07T21:22:52.064124
0.1,0.3,12.0,0.0,2.46,97.54,50,2025-04-07T21:22:52.064125
0.1,0.3,13.0,0.0,1.66,98.34,50,2025-04-07T21:22:52.064126
0.1,0.3,14.0,0.0,1.0,99.0,50,2025-04-07T21:22:52.064127
0.1,0.3,15.0,0.0,0.6,99.4,50,2025-04-07T21:22:52.064128
0.1,0.3,16.0,0.0,0.48,99.52,50,2025-04-07T21:22:52.064129
0.1,0.3,17.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.064130
0.1,0.3,18.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.064131
0.1,0.3,19.0,0.0,0.3,99.7,50,2025-04-07T21:22:52.064132
0.1,0.3,20.0,0.0,0.26,99.74,50,2025-04-07T21:22:52.064133
0.1,0.3,21.0,0.0,0.26,99.74,50,2025-04-07T21:22:52.064134
0.1,0.3,22.0,0.0,0.22,99.78,50,2025-04-07T21:22:52.064135
0.1,0.3,23.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064136
0.1,0.3,24.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064137
0.1,0.3,25.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064139
0.1,0.3,26.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064140
0.1,0.3,27.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064141
0.1,0.3,28.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064142
0.1,0.3,29.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064143
0.1,0.3,30.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064144
0.1,0.3,31.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064146
0.1,0.3,32.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064147
0.1,0.3,33.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064147
0.1,0.3,34.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064149
0.1,0.3,35.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064150
0.1,0.3,36.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064151
0.1,0.3,37.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064152
0.1,0.3,38.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064153
0.1,0.3,39.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064154
0.1,0.3,40.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064155
0.1,0.3,41.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064156
0.1,0.3,42.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064157
0.1,0.3,43.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064158
0.1,0.3,44.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064159
0.1,0.3,45.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064160
0.1,0.3,46.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064161
0.1,0.3,47.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064162
0.1,0.3,48.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064163
0.1,0.3,49.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064164
0.1,0.3,50.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064165
0.1,0.3,51.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064166
0.1,0.3,52.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064167
0.1,0.3,53.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064168
0.1,0.3,54.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064169
0.1,0.3,55.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064170
0.1,0.3,56.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064171
0.1,0.3,57.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064172
0.1,0.3,58.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064173
0.1,0.3,59.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064174
0.1,0.3,60.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064175
0.1,0.3,61.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064176
0.1,0.3,62.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064177
0.1,0.3,63.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064178
0.1,0.3,64.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064179
0.1,0.3,65.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064180
0.1,0.3,66.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064181
0.1,0.3,67.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064182
0.1,0.3,68.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064183
0.1,0.3,69.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064184
0.1,0.3,70.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064185
0.1,0.3,71.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064186
0.1,0.3,72.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064187
0.1,0.3,73.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064192
0.1,0.3,74.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064193
0.1,0.3,75.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064194
0.1,0.3,76.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064195
0.1,0.3,77.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064196
0.1,0.3,78.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064197
