beta,gamma,time,S,I,R,num_simulations,timestamp
0.3,0.4,69.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863296
0.3,0.4,70.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863297
0.3,0.4,71.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863298
0.3,0.4,72.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863299
0.3,0.4,73.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863300
0.3,0.4,74.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863301
0.3,0.4,75.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863302
0.3,0.4,76.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863303
0.3,0.4,77.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863304
0.3,0.4,78.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863305
0.3,0.4,79.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863306
0.3,0.4,80.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863307
0.3,0.4,81.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863308
0.3,0.4,82.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863309
0.3,0.4,83.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863310
0.3,0.4,84.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863311
0.3,0.4,85.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863312
0.3,0.4,86.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863313
0.3,0.4,87.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863314
0.3,0.4,88.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863315
0.3,0.4,89.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863316
0.3,0.4,90.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863317
0.3,0.4,91.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863318
0.3,0.4,92.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863319
0.3,0.4,93.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863319
0.3,0.4,94.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863320
0.3,0.4,95.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863321
0.3,0.4,96.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863322
0.3,0.4,97.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863323
0.3,0.4,98.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863324
0.3,0.4,99.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863325
0.3,0.4,100.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.863326
0.3,0.5,0.0,95.0,5.0,0.0,50,2025-04-07T21:22:52.900631
0.3,0.5,1.0,0.0,64.28,35.72,50,2025-04-07T21:22:52.900638
0.3,0.5,2.0,0.0,38.82,61.18,50,2025-04-07T21:22:52.900639
0.3,0.5,3.0,0.0,23.28,76.72,50,2025-04-07T21:22:52.900640
0.3,0.5,4.0,0.0,13.74,86.26,50,2025-04-07T21:22:52.900641
0.3,0.5,5.0,0.0,7.78,92.22,50,2025-04-07T21:22:52.900642
0.3,0.5,6.0,0.0,4.66,95.34,50,2025-04-07T21:22:52.900643
0.3,0.5,7.0,0.0,2.52,97.48,50,2025-04-07T21:22:52.900644
0.3,0.5,8.0,0.0,1.4,98.6,50,2025-04-07T21:22:52.900646
0.3,0.5,9.0,0.0,0.78,99.22,50,2025-04-07T21:22:52.900647
0.3,0.5,10.0,0.0,0.6,99.4,50,2025-04-07T21:22:52.900648
0.3,0.5,11.0,0.0,0.5,99.5,50,2025-04-07T21:22:52.900649
0.3,0.5,12.0,0.0,0.42,99.58,50,2025-04-07T21:22:52.900650
0.3,0.5,13.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900651
0.3,0.5,14.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900652
0.3,0.5,15.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900653
0.3,0.5,16.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900654
0.3,0.5,17.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900655
0.3,0.5,18.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900656
0.3,0.5,19.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900657
0.3,0.5,20.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900658
0.3,0.5,21.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900659
0.3,0.5,22.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900660
0.3,0.5,23.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900661
0.3,0.5,24.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900662
0.3,0.5,25.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900663
0.3,0.5,26.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900664
0.3,0.5,27.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900665
0.3,0.5,28.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900667
0.3,0.5,29.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900668
0.3,0.5,30.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900669
0.3,0.5,31.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900670
0.3,0.5,32.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900671
0.3,0.5,33.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900672
0.3,0.5,34.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900673
0.3,0.5,35.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900674
0.3,0.5,36.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900675
0.3,0.5,37.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900676
0.3,0.5,38.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900677
0.3,0.5,39.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900678
0.3,0.5,40.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900679
0.3,0.5,41.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900680
0.3,0.5,42.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900681
0.3,0.5,43.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900681
0.3,0.5,44.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900682
0.3,0.5,45.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900684
0.3,0.5,46.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900684
0.3,0.5,47.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900685
0.3,0.5,48.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900686
0.3,0.5,49.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900687
0.3,0.5,50.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900688
0.3,0.5,51.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900689
0.3,0.5,52.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900690
0.3,0.5,53.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900691
0.3,0.5,54.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900692
0.3,0.5,55.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900693
0.3,0.5,56.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900694
0.3,0.5,57.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900695
0.3,0.5,58.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900696
0.3,0.5,59.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900697
0.3,0.5,60.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900698
0.3,0.5,61.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900699
0.3,0.5,62.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900700
0.3,0.5,63.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900701
0.3,0.5,64.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900702
0.3,0.5,65.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900703
0.3,0.5,66.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900708
0.3,0.5,67.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900710
0.3,0.5,68.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900711
0.3,0.5,69.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900712
0.3,0.5,70.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900713
0.3,0.5,71.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900714
0.3,0.5,72.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900715
0.3,0.5,73.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900716
0.3,0.5,74.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900717
0.3,0.5,75.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900718
0.3,0.5,76.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900719
0.3,0.5,77.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900720
0.3,0.5,78.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900721
0.3,0.5,79.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900722
0.3,0.5,80.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900723
0.3,0.5,81.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900724
0.3,0.5,82.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900725
0.3,0.5,83.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900727
0.3,0.5,84.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900728
0.3,0.5,85.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900729
0.3,0.5,86.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900730
0.3,0.5,87.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900731
0.3,0.5,88.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900732
0.3,0.5,89.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900733
0.3,0.5,90.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900734
0.3,0.5,91.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900735
0.3,0.5,92.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900736
0.3,0.5,93.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900738
0.3,0.5,94.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900739
0.3,0.5,95.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900740
0.3,0.5,96.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900741
0.3,0.5,97.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900742
0.3,0.5,98.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900743
0.3,0.5,99.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900744
0.3,0.5,100.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.900745
0.3,0.6,0.0,95.0,5.0,0.0,50,2025-04-07T21:22:52.937279
0.3,0.6,1.0,0.0,56.68,43.32,50,2025-04-07T21:22:52.937284
0.3,0.6,2.0,0.0,30.74,69.26,50,2025-04-07T21:22:52.937285
0.3,0.6,3.0,0.0,16.06,83.94,50,2025-04-07T21:22:52.937286
0.3,0.6,4.0,0.0,8.12,91.88,50,2025-04-07T21:22:52.937287
0.3,0.6,5.0,0.0,4.16,95.84,50,2025-04-07T21:22:52.937289
0.3,0.6,6.0,0.0,1.92,98.08,50,2025-04-07T21:22:52.937290
0.3,0.6,7.0,0.0,1.1,98.9,50,2025-04-07T21:22:52.937291
0.3,0.6,8.0,0.0,0.6,99.4,50,2025-04-07T21:22:52.937292
0.3,0.6,9.0,0.0,0.5,99.5,50,2025-04-07T21:22:52.937293
0.3,0.6,10.0,0.0,0.44,99.56,50,2025-04-07T21:22:52.937294
0.3,0.6,11.0,0.0,0.42,99.58,50,2025-04-07T21:22:52.937295
0.3,0.6,12.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.937296
0.3,0.6,13.0,0.0,0.38,99.62,50,2025-04-07T21:22:52.937297
0.3,0.6,14.0,0.0,0.38,99.62,50,2025-04-07T21:22:52.937300
0.3,0.6,15.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937301
0.3,0.6,16.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937302
0.3,0.6,17.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937303
0.3,0.6,18.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937304
0.3,0.6,19.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937305
0.3,0.6,20.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937306
0.3,0.6,21.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937307
0.3,0.6,22.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937308
0.3,0.6,23.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937309
0.3,0.6,24.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937310
0.3,0.6,25.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937311
0.3,0.6,26.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937312
0.3,0.6,27.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937313
0.3,0.6,28.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937314
0.3,0.6,29.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937315
0.3,0.6,30.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937316
0.3,0.6,31.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937317
0.3,0.6,32.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937318
0.3,0.6,33.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937319
0.3,0.6,34.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937320
0.3,0.6,35.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937321
0.3,0.6,36.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937322
0.3,0.6,37.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937323
0.3,0.6,38.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937324
0.3,0.6,39.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937325
0.3,0.6,40.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937326
0.3,0.6,41.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937327
0.3,0.6,42.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937328
0.3,0.6,43.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937329
0.3,0.6,44.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937330
0.3,0.6,45.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937331
0.3,0.6,46.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937332
0.3,0.6,47.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937333
0.3,0.6,48.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937334
0.3,0.6,49.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937335
0.3,0.6,50.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937336
0.3,0.6,51.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937337
0.3,0.6,52.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937339
0.3,0.6,53.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937340
0.3,0.6,54.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937341
0.3,0.6,55.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937342
0.3,0.6,56.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937342
0.3,0.6,57.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937343
0.3,0.6,58.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937344
0.3,0.6,59.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937345
0.3,0.6,60.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937346
0.3,0.6,61.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937347
0.3,0.6,62.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937348
0.3,0.6,63.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937349
0.3,0.6,64.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937350
0.3,0.6,65.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937351
0.3,0.6,66.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937352
0.3,0.6,67.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937353
0.3,0.6,68.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937354
0.3,0.6,69.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937355
0.3,0.6,70.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937356
0.3,0.6,71.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937357
0.3,0.6,72.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937358
0.3,0.6,73.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937359
0.3,0.6,74.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937360
0.3,0.6,75.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937361
0.3,0.6,76.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937362
0.3,0.6,77.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937363
0.3,0.6,78.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937364
0.3,0.6,79.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937365
0.3,0.6,80.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937366
0.3,0.6,81.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937367
0.3,0.6,82.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937368
0.3,0.6,83.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937369
0.3,0.6,84.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937370
0.3,0.6,85.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937371
0.3,0.6,86.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937372
0.3,0.6,87.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937373
0.3,0.6,88.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937374
0.3,0.6,89.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937375
0.3,0.6,90.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937383
0.3,0.6,91.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937384
0.3,0.6,92.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937386
0.3,0.6,93.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937388
0.3,0.6,94.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937389
0.3,0.6,95.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937390
0.3,0.6,96.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937391
0.3,0.6,97.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937392
0.3,0.6,98.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937393
0.3,0.6,99.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937394
0.3,0.6,100.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.937395
0.3,0.7000000000000001,0.0,95.0,5.0,0.0,50,2025-04-07T21:22:52.973363
0.3,0.7000000000000001,1.0,0.0,51.56,48.44,50,2025-04-07T21:22:52.973368
0.3,0.7000000000000001,2.0,0.0,24.92,75.08,50,2025-04-07T21:22:52.973369
0.3,0.7000000000000001,3.0,0.0,12.38,87.62,50,2025-04-07T21:22:52.973370
0.3,0.7000000000000001,4.0,0.0,5.6,94.4,50,2025-04-07T21:22:52.973372
0.3,0.7000000000000001,5.0,0.0,2.4,97.6,50,2025-04-07T21:22:52.973373
0.3,0.7000000000000001,6.0,0.0,1.2,98.8,50,2025-04-07T21:22:52.973374
0.3,0.7000000000000001,7.0,0.0,0.8,99.2,50,2025-04-07T21:22:52.973375
0.3,0.7000000000000001,8.0,0.0,0.64,99.36,50,2025-04-07T21:22:52.973376
0.3,0.7000000000000001,9.0,0.0,0.6,99.4,50,2025-04-07T21:22:52.973377
0.3,0.7000000000000001,10.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973378
0.3,0.7000000000000001,11.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973379
0.3,0.7000000000000001,12.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973380
0.3,0.7000000000000001,13.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973381
0.3,0.7000000000000001,14.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973382
0.3,0.7000000000000001,15.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973383
0.3,0.7000000000000001,16.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973384
0.3,0.7000000000000001,17.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973385
0.3,0.7000000000000001,18.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973386
0.3,0.7000000000000001,19.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973387
0.3,0.7000000000000001,20.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973388
0.3,0.7000000000000001,21.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973389
0.3,0.7000000000000001,22.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973390
0.3,0.7000000000000001,23.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973391
0.3,0.7000000000000001,24.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973392
0.3,0.7000000000000001,25.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973393
0.3,0.7000000000000001,26.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973394
0.3,0.7000000000000001,27.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973395
0.3,0.7000000000000001,28.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973396
0.3,0.7000000000000001,29.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973397
0.3,0.7000000000000001,30.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973398
0.3,0.7000000000000001,31.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973399
0.3,0.7000000000000001,32.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973400
0.3,0.7000000000000001,33.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973401
0.3,0.7000000000000001,34.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973402
0.3,0.7000000000000001,35.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973403
0.3,0.7000000000000001,36.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973404
0.3,0.7000000000000001,37.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973405
0.3,0.7000000000000001,38.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973406
0.3,0.7000000000000001,39.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973407
0.3,0.7000000000000001,40.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973408
0.3,0.7000000000000001,41.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973409
0.3,0.7000000000000001,42.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973410
0.3,0.7000000000000001,43.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973411
0.3,0.7000000000000001,44.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973412
0.3,0.7000000000000001,45.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973413
0.3,0.7000000000000001,46.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973414
0.3,0.7000000000000001,47.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973415
0.3,0.7000000000000001,48.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973416
0.3,0.7000000000000001,49.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973417
0.3,0.7000000000000001,50.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973418
0.3,0.7000000000000001,51.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973419
0.3,0.7000000000000001,52.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973420
0.3,0.7000000000000001,53.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973421
0.3,0.7000000000000001,54.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973422
0.3,0.7000000000000001,55.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973423
0.3,0.7000000000000001,56.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973424
0.3,0.7000000000000001,57.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973425
0.3,0.7000000000000001,58.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973426
0.3,0.7000000000000001,59.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973427
0.3,0.7000000000000001,60.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973428
0.3,0.7000000000000001,61.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973429
0.3,0.7000000000000001,62.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973430
0.3,0.7000000000000001,63.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973431
0.3,0.7000000000000001,64.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973432
0.3,0.7000000000000001,65.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973433
0.3,0.7000000000000001,66.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973434
0.3,0.7000000000000001,67.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973435
0.3,0.7000000000000001,68.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973436
0.3,0.7000000000000001,69.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973437
0.3,0.7000000000000001,70.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973438
0.3,0.7000000000000001,71.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973439
0.3,0.7000000000000001,72.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973440
0.3,0.7000000000000001,73.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973441
0.3,0.7000000000000001,74.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973442
0.3,0.7000000000000001,75.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973443
0.3,0.7000000000000001,76.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973444
0.3,0.7000000000000001,77.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973445
0.3,0.7000000000000001,78.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973446
0.3,0.7000000000000001,79.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973447
0.3,0.7000000000000001,80.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973448
0.3,0.7000000000000001,81.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973449
0.3,0.7000000000000001,82.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973450
0.3,0.7000000000000001,83.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973451
0.3,0.7000000000000001,84.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973452
0.3,0.7000000000000001,85.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973453
0.3,0.7000000000000001,86.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973454
0.3,0.7000000000000001,87.0,0.0,0.58,99.42,50,2025-04-07T21:22:52.973455
